first_word,first_code_emoji,first_code,assigned_second_guess,max_num_second_word_in_strategy,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
CRANE,⬛🟨⬛🟨🟩,01012,TOILS,8,False,5,0.0022,0.5786,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨🟨🟨,01111,TOILS,8,False,5,0.0022,0.4127,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛🟨⬛,02010,BIGOT,8,False,5,0.0022,0.5786,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛🟩🟩,02022,POUTS,8,False,5,0.0022,0.6990,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨🟨⬛,10110,TOILS,8,False,5,0.0022,0.5786,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟩⬛🟨,10201,SPILT,8,False,5,0.0022,0.6990,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟩⬛⬛⬛,12000,SPILT,8,False,5,0.0022,0.6990,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛🟩⬛,20020,BIGOT,8,False,5,0.0022,0.6990,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛🟩⬛,01020,SOUTH,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟨🟨⬛,02110,BIGOT,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟩⬛🟩,10202,TOILS,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨⬛🟩,20102,TOILS,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨🟨⬛,20110,TOILS,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨🟨⬛🟨,21101,SPILT,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨🟩⬛⬛,21200,DEIST,8,False,4,0.0017,0.6021,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛⬛🟩,22002,SPILT,8,False,4,0.0017,0.4515,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟩🟨,00121,SOUTH,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟨⬛🟩,02102,TOILS,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛⬛🟩,11002,TOILS,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟩⬛⬛,11200,TOILS,8,False,3,0.0013,0.2764,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟩⬛⬛🟩,12002,TOILS,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟩🟩⬛⬛,12200,SPILT,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟩🟩⬛🟩,12202,BIGOT,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟩⬛🟩,20202,SOUTH,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
